LNAA001	额度状态为冻结关联时需授权
LNRA642	罚息宽限方式为不宽限时，不能输入罚息宽限期
LNRA643	&1与&2不符
LNRA644	协议到期日需要大于当前工作日
LNRA645	纸票交易时，如结算账户为空应为系统内转帖现
LNRA646	到期日期必须大于起始日期
LNRA647	项目协议类别不为房屋类不允许建立子项目协议
LNRA648	输入的修改信息无效。
LNRA649	透支账户余额为负不允许结清
LNRA650	&1应小于&2
LNRA651	个人贷款不能指定借据序号
LNRA652	&1必须指定借据序号
LNRA653	不自动转逾期且发起方为批量
LNRA654	上传币种&1与原额度币种&2不相符
LNRA655	上传币种&1与原项目协议币种&2不相符
LNRA656	上传币种&1与原子项目协议币种&2不相符
LNRA657	不存在输入条件的已结息还款计划记录
LNRA658	指定参与行客户或参与行名称，本行它行标识必须为他行
LNRA659	票据贴现产品时罚息利率定价方式必须为固定
LNRA660	票据贴现产品时贷款利率模式必须为协商定价。
LNRA661	产品风险分类方式为手工,必须录入手工风险分类
LNRA662	产品风险分类方式为自动,不能录入手工风险分类
LNRA663	&1时，&2不允许输入
LNRA664	&1时，&2不允许为空
LNRA665	&1和&2不匹配
LNRA666	可提款到期日必须大于当前工作日
LNRA667	公积金中心代码不为零，公积金贷款协议号必须输入
LNRA668	卖出金额&1与输入票面金额&2不相等
LNRA669	输入原产品编码&1与转让明细表中产品&2不符
LNRA670	输入的新产品编码&1不正确
LNRA671	不存在未到期的还款计划记录
LNRA672	额度类型非法人透支
LNRA673	当功能码增加时&1不能为空
LNRA674	&1与&2对比相等则报错
LNRA675	&1为删除时函数没有正常返回则报错
LNRA676	账号&1非内部账户
LNRA677	不允许账号&1为内部账户
LNRA678	此还款计划首期处理仅支持公积金产品
LNRA679	签约类型编号是&1时报错
LNRA680	固定方式只能输入利率不能输入利率组信息
LNRA681	贷款经营类型为非委托贷款，委托人客户号等有关委托贷款方面数据应为空
LNRA682	按计划放款时，不允许修改还款方式
LNRA683	&1为空，格式转化异常
LNRA684	账号&1非存款账户
LNRA685	不允许账号&1为存款账户
LNRA686	协议已生效，不可修改首次还款日
LNRA687	字段赋值异常
LNRA688	数据计算溢出
LNRA689	&1不能为空
LNRA690	&1数据计算异常
LNRA691	如果贷款相关类型不是保证金类，那么存款资金用途必须是普通存款
LNRA692	项目协议机构与监管账户归属机构间不允许通存通兑
LNRA693	非借款人收款标识为’是‘，收款人客户号不能为借款人客户号
LNRA694	预收息且借据未过到期日
LNRA695	非公积金贷款，还款计划首期处理不能为2-首期等额,利息按整期计算
LNRA696	协议不存在关联项目协议，必须输入放款账号。
LNRA697	利率资料生效日必须等于原到期日或展缩期生效日
LNRA698	收款人账号对应客户号不能与法透客户号相同
LNRA699	收息方式为后收息，则预收息付息类型、非融资方/非卖方付息账号、非融资方/非卖方付息比例不可输入
LNRA700	预收息付息类型为卖方付息，则有关非融资方/非卖方(付息账号、币种、钞汇标识、付息比例)不可输入
LNRA701	预收息付息类型为非卖方付息，则非融资方/非卖方付息比例必须为100%
LNRA702	预收息付息类型为协议付息，则非融资方/非卖方付息比例必须大于0%，小于100%
LNRA703	自助质押签约账号中必须有活期账户
LNRA704	前提额度金额大于本期额度金额时，则额度开始日不能大于当前工作日
LNRA705	指令代码&1配置已存在
LNRA706	指令代码&1配置不存在
LNRA707	余额类型&1小于零
LNRA708	若是小额质押贷款，担保细类必须是201、212、213
LNRA709	非卖方/非融资方付息比例输入值应大于等于0或小于等于100
LNRA710	本交易不支持开通自动渠道功能。
LNRA711	利息收取方式为预收息，借据初始到期日不能大于结息日期
LNRA712	无还款金额时，还款还息选择不可选３
LNRA713	所还金额不足提前还款
LNRA714	客户信息状态为已销号
LNRA715	该协议下所有借据都已结清或无效
LNRA716	还款金额不足提前还款
LNRA717	账户对应客户号与协议对应客户号不同
LNRA718	账号大类不为客户账号,内部账号或同业账号则拒绝
LNRA719	存在项目协议下的子项目协议不允许修改项目类别
LNRA720	内部账余额不为0
LNRA721	系统账户普通冻结状态非正常
LNRA722	该账户序号对应分户&1必须为定期分户
LNRA723	上一期的计划放款到期日不能大于等于下一期的计划放款开始日
LNRA724	如果存款资金用途非保证金,定活标识不可以为定期,
LNRA725	调整还款日则须大于会计日
LNRA726	&1时，不允许&2
LNRA727	该日期不需重定价
LNRA728	&1应大于&2
LNRA729	不能删除&1
LNRA730	追加放款不允许录入利率资料
LNRA731	协议编号&1借据序号&2在&3中不存在
LNRA732	协议编号&1借据序号&2在&3中已存在
LNRA733	借据到期日&1不能大于当前交易日&2
LNRA734	项目已存在子项目无法改项目类型或资助标识
LNRA735	项目已关联协议无法修改项目类型或资助标识
LNRA736	额度金额不允许超过500万
LNRA737	票号&1冠字号&2已直贴买入
LNRA738	子额度&1与主额度&2已经存在关联
LNRA739	预收息贷款不允许重定价。
LNRA740	预收息时，利率生效日不能大于借据开立日且小于借据原始到期日
LNRA741	&1时，&2应&3
LNRA742	银团贷款本他行标识必须输入
LNRA743	协议&1未找到放款基本信息
LNRA744	调用组件系统错误
LNRA745	修改后的自助额度不可以小于已经开立的协议金额累加
LNRA746	如果押品种类为自助质押,则一卡通对应的账户类别不允许为国债账户
LNRA747	如果押品种类为自助储蓄国债质押,则一卡通对应的账户类别必须为国债账户
LNRA748	接口输入子账户必须是未质押账户分户
LNRA749	借据买卖状态不正确，不允许进行此交易
LNRA750	&1应等于&2
LNRA751	协议状态未生效不允许用过此交易删除利率资料
LNRA752	&1不能转让
LNRA753	调整还款日为空时，是否月末标识不可录入
LNRA754	房款金额不能大于自助金额
LNRA755	该协议已存在一般类提前还款，不可做预约提前还款
LNRA756	如果实际应摊利息减去退回多预收息等于已摊利息则拒绝
LNRA757	到期日期不允许小于会计日期
LNRA758	银团牵头行时，本行份额才允许输入
LNRA759	计划放款期数不能为零
LNRA760	没有找到协议编号&1借据序号&2在&3中的记录
LNRA761	固定日字段赋值异常
LNRA762	迁入机构不允许交易
LNRA763	迁入机构与归属机构为同一机构
LNRA764	转让状态不允许调息
LNRA765	风险分类产品属性不为手动自动均可时,手动风险等级不允许为空.
LNRA766	无可追加的有效借据
LNRA767	预售证号与子项目协议号不对应
LNRA768	期限或周期类型必须为M或D
LNRA769	该借据本他行标识必须为本行
LNRA770	协议&1无放款计划
LNRA771	协议&1未处理放款计划
LNRA772	当前期之前不应存在未放款的计划
LNRA773	正常本金为0，不允许提前还款
LNRA774	还款金额少于最低提前还款额并且无法结清
LNRA775	法人透支提前还款方式必须为每天还
LNRA776	还款周期和递变/累进周期单位必须相同
LNRA777	递变/累进周期必须是还款周期整数倍
LNRA778	贷款性质需为正常，请输入00
LNRA779	递变累进值或比例过大，还本金额非法
LNRA780	自定义方式不允许该还款方式的调整
LNRA781	已有生效的临时还款计划记录，不可再做新增
LNRA782	如果产品编码没有输入,科目号必须为空
LNRA783	获取提前天数失败
LNRA784	客户号不为个人客户不允许此操作
LNRA785	协议编号&1借据序号&2生效日&3有未定价利率资料
LNRA786	当交易币种为外币时,钞汇标识必须为汇户.
LNRA787	对应预约记录不存在，无法删除
LNRA788	对应预约记录已存在，无法新增记录
LNRA789	预收息付息类型必须为卖方付息
LNRA790	交易金额必须为零
LNRA791	如为对公贷款，借据序号不允许为空
LNRA792	如为零售贷款，借据序号不允许输入
LNRA793	计划首次放款日需在放款开始日和放款到期日之间
LNRA794	扣款金额不足还佣金
LNRA795	维护功能码取值必须在新增与删除之间
LNRA796	参数非正常状态，不允许对应操作
LNRA797	计划首次放款日不在合理区间内
LNRA798	账户&1的冻结明细不存在,无法解冻
LNRA799	该账户&1的签约明细不存在
LNRA800	协议状态已结清不能做此交易
LNRA801	预收息付息类型必须为空
LNRA802	客户号、机构号、项目协议编号、额度编号、证件类型、证件号码不能同时为空
LNRA803	打开下传文件错误
LNRA804	若贴息金额为０，贴息类型不允许为1-正常贴息或 2-银行垫付贴息或3-客户自贴贴息
LNRA805	若贴息金额不为０，贴息类型必须为1-正常贴息或2- 银行垫付贴息或3-客户自贴贴息
LNRA806	证件类型、证件号码、客户名称必须一起输入。
LNRA807	预约开始日期小于当前会计日
LNRA808	预约开始日期大于到期日
LNRA809	该还款方式不适用此还款计划调整方式
LNRA810	本行放款账户标识为 Y 时,收款人客户号、放款账号币种和放款账号钞汇标识必输入
LNRA811	本行放款账户标识为 N时,非本行放款账户名称、非本行放款账户开户行和非本行放款账户开户行名称必输入
LNRA812	协议利率生效日必须等于借据到期日
LNRA813	客户号与项目协议号二者选输其一，且只能输其一
LNRA814	起始日期或截止日期输入,入账标识为未结清入账则拒绝
LNRA815	如果收款人客户号不为空，则为受托支付贷款,关联类型不为放款关联则拒绝
LNRA816	提前还款金额不能大于单笔自助提前还款最高金额
LNRA817	提前还款金额不能小于单笔自助提前还款最低金额
LNRA818	取消停息时专项准备金必须为零
LNRA819	明细检查报错，请检查文件数据。
LNRA820	本条资产关联的主编号&1已经建立过资产关联
LNRA821	本条资产关联的从编号&1已经建立过资产关联
LNRA822	预收息调整期限请通过预约交易
LNRA823	&1文件&2操作出错
LNRA824	&1之和必须为100
LNRA825	展期/缩期生效日&1应大于等于当前会计日期&2
LNRA826	展缩期生效日不等于借据到期日
LNRA827	利率生效日不等于展缩期生效日
LNRA828	展缩期生效日不等于预约开始日
LNRA829	更新电子指令登记簿出错
LNRA830	贷款存在欠还金额,不允许取消停息
LNRA831	放款计划总的未放款金额大于协议未放款金额
LNRA832	输入放款计划期数不能大于放款计划参数表中的期数
LNRA833	协议状态不是未生效不允许删除协议放款计划基本信息记录
LNRA834	续作额度不允许为主额度
LNRA835	额度类型不应为&1
LNRA836	公司贷款不允许加减档
LNRA837	上级额度编号对应专项额度类型必须为网贷主额度
LNRA838	该账户&1
LNRA839	专项准备金冲正后,准备金金额小于零则拒绝
LNRA840	如果账户类型为委托存款户,则账户的存款资金用途必须为委托资金
LNRA841	当交易账号为内部账户时,检查内部账户标识为否，则拒绝
LNRA842	多笔入口第一笔数据不允许为空
LNRA843	放款计划生成方式为手工只需输入维护方式、协议编号、放款计划生成方式、是否自动放款
LNRA844	追加放款只允许还款方式为03到期还本定期还息或04到期一次还本息
LNRA845	法人按揭贷款的提前还款需要由电子指令完成
LNRA846	上级额度编号&1下协议状态只能为撤销或结清
LNRA847	&1非空则&2
LNRA848	非卖方付息或协议付息时，必须同时输入非卖方付息比例、账号和币种
LNRA849	卖方付息时，不能输入非卖方付息比例、账号、币种和钞汇标识
LNRA850	&1时，无法&2
LNRA851	特殊指令类交易时，交易机构应为指令中指定的操作机构
LNRA852	票据&1冠字号&2已转贴买入
LNRA853	票据&1冠字号&2已回购买入
LNRA854	&1不能用此交易做&2
LNRA855	对外支付账号已在开户时限定
LNRA856	自助渠道放款类交易，自助放款标识必须为允许自助提款
LNRA857	自助渠道还款类交易，自助还款标识必须为是
LNRA858	产品限额超限
LNRA859	机构限额超限
LNRA860	批量冲正时，交易机构只能是本机构或账务中心
LNRA861	产品业务属性非资产业务，拒绝交易
LNRA862	该产品&1大于等于&2且小于等于&3，拒绝交易
LNRA863	该产品其他生效日期大于等于本次生效日期且其他失效日期小于等于本次失效日期，拒绝交易
LNRA864	仍然关联成员单位,请先撤出成员单位
LNRA865	存在集团现金委贷手续费未收取,请先缴费
LNRA866	转入产品编码与原产品编码相同
LNRA867	&1与&2必输其一且只能输入其一
LNRA868	存在未结清借据不允许修改首付保证金账户或保证金比例
LNRA869	&1不应为&2
LNRA870	账号大类只允许为内部帐户或客户账户
LNRA871	本交易不支持&1
LNRA872	只允许额度与协议关联进行续作处理
LNRA873	剩余本息入账账号不允许为定期
LNRA874	对外结算账号不合法
LNRA875	若项目类别不为01-担保类或项目类别为02-非担保类且担保总额度等于零，担保金额不允许输入
LNRA876	批次状态不为透支，不允许冲销
LNRA878	&1,&2,&3,&4不允许为空
LNRA879	&1为&2，不允许做此交易
LNRA880	转让合同号&1不存在
LNRA881	写基本事件错误
LNRA882	写事件组件错误
LNRA883	接口数据与转让合同表中不一致
LNRA884	请检查转让合同号是否输入且为日终转账类型。
LNRA885	请检查接口数据
LNRA886	更新转让回购清单出错
LNRA887	&1不为&2，不允许做此交易
LNRA888	协议风险分类为&1，必须为损失
LNRA889	获取核心日期失败
LNRA890	贷款转逾期应先结息
LNRA891	借据已核销
LNRA892	票号在借据主档中不存在或已结清
LNRA893	自助储蓄国债质押不允许进行新增处理
LNRA894	同一票号不应存在多条有效借据
LNRA895	自助储蓄国债质押不允许调增自助额度
LNRA896	押品种类与担保细类不一致
LNRA897	专用金额&1小于可用专用金额&2，不允许做此交易
LNRA898	共享金额&1小于可用共享金额&2，不允许做此交易
LNRA899	录入凭证号码&1与后台查询凭证号码&2不一致
LNRA900	质押账号储种不为整存整取或存本取息,不允许质押
LNRA901	质押账号介质不为&1,不允许质押
LNRA902	此票据&1无符合卖出条件的有效借据
LNRA903	未生成交易日志号
LNRA904	检索电子指令登记簿出错
LNRA905	无此业务场景
LNRA906	该协议下借据存在欠还,不能取消停息.
LNRA907	票据&1无符合到期返售条件的有效借据
LNRA908	若有欠还时，不允许佣金扣收
LNRA909	该借据不自动转逾期
LNRA910	预收息或核销借据不转逾期
LNRA911	本次签约自助额度不允许大于最大限额
LNRA999	不写BALOGA
